Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Houma-Thibodaux, LA",208178,26380,ND,ND,ND,ND,0.059,ND,7.4,17,ND
"Houston-The Woodlands-Sugar Land, TX",5920416,26420,2,ND,18,59,0.084,140,11.8,27,14
"Huntington-Ashland, WV-KY-OH",364908,26580,ND,ND,6,31,0.062,50,7.8,17,7
"Huntsville, AL",417593,26620,ND,ND,ND,ND,0.065,66,7.4,16,ND
"Hutchinson, MN",36651,26780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Idaho Falls, ID",133265,26820,ND,ND,ND,ND,0.06,ND,IN,IN,ND
"Indiana, PA",88880,26860,ND,ND,ND,ND,0.059,ND,7.6,15,16
"Indianapolis-Carmel-Anderson, IN",1887877,26900,1,ND,11,43,0.072,100,12.2,31,7
"Ionia, MI",63905,26960,ND,0.06,ND,ND,ND,ND,ND,ND,ND
"Iowa City, IA",152586,26980,ND,ND,ND,ND,ND,ND,7.5,20,ND
"Iron Mountain, MI-WI",30591,27020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Ithaca, NY",101564,27060,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Jackson, MS",567122,27140,1,ND,ND,ND,0.062,102,9.9,26,2
"Jackson, TN",130011,27180,ND,ND,ND,ND,ND,ND,8,18,ND
"Jackson, WY-ID",31464,27220,0,ND,1,IN,0.058,48,4.1,12,ND
"Jacksonville, FL",1345596,27260,1,ND,10,42,0.064,66,8.8,19,41
"Jacksonville, NC",177772,27340,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Jamestown-Dunkirk-Fredonia, NY",134905,27460,ND,ND,ND,ND,0.071,ND,5.6,15,ND
"Janesville-Beloit, WI",160331,27500,ND,ND,ND,ND,0.065,ND,IN,IN,ND
"Jasper, IN",54734,27540,ND,ND,ND,ND,ND,46,8.6,21,ND
"Jefferson City, MO",149807,27620,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Johnstown, PA",143679,27780,1,ND,6,34,0.063,31,10.2,23,12
"Jonesboro, AR",121026,27860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Joplin, MO",175518,27900,ND,ND,ND,ND,0.069,132,IN,IN,ND
"Juneau, AK",31275,27940,ND,ND,ND,ND,ND,38,5.3,23,ND
"Kahului-Wailuku-Lahaina, HI",154924,27980,ND,ND,ND,ND,ND,ND,4,8,ND
"Kalamazoo-Portage, MI",326589,28020,ND,ND,ND,ND,0.068,ND,10.3,29,ND
"Kalispell, MT",90928,28060,ND,ND,ND,ND,0.052,114,8.4,30,ND
"Kansas City, MO-KS",2009342,28140,1,ND,10,47,0.069,132,9,23,7
"Kapaa, HI",67091,28180,ND,ND,IN,IN,ND,ND,IN,IN,IN
"Keene, NH",77117,28300,ND,ND,ND,ND,0.059,ND,5.9,17,ND
"Kennewick-Richland, WA",253340,28420,ND,ND,ND,ND,0.064,125,IN,IN,ND
"Ketchikan, AK",13477,28540,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Killeen-Temple, TX",405300,28660,ND,ND,IN,IN,0.069,ND,7,23,ND
"Kingsport-Bristol-Bristol, TN-VA",309544,28700,ND,0.04,ND,ND,0.063,ND,6.2,13,55
"Kingsville, TX",32477,28780,ND,ND,ND,ND,ND,ND,10.1,30,ND
"Kinston, NC",59495,28820,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Klamath Falls, OR",66380,28900,ND,ND,ND,ND,ND,ND,8.6,31,ND
"Knoxville, TN",837571,28940,0,0.04,1,IN,0.068,37,8.7,17,IN
"Kokomo, IN",82752,29020,ND,ND,ND,ND,0.071,ND,7.3,18,ND
"Laconia, NH",60088,29060,ND,ND,ND,ND,0.056,ND,4.5,11,ND
"La Crosse-Onalaska, WI-MN",133665,29100,ND,ND,ND,ND,0.056,ND,7.4,19,ND
